city,link,name,party,sex,city_en
Tekirdağ,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7632,Çiğdem KONCAGÜL,AK Parti,K,TEKIRDAG
Tekirdağ,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7510,Enez KAPLAN,İYİ Parti,E,TEKIRDAG
Tekirdağ,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6402,Faik ÖZTRAK,CHP,E,TEKIRDAG
Tekirdağ,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7491,İlhami Özcan AYGUN,CHP,E,TEKIRDAG
Tekirdağ,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6906,Mustafa ŞENTOP,AK Parti,E,TEKIRDAG
Tekirdağ,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7131,Mustafa YEL,AK Parti,E,TEKIRDAG
Tokat,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7382,Kadim DURMAZ,CHP,E,TOKAT
Tokat,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7534,Mustafa ARSLAN,AK Parti,E,TOKAT
Tokat,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7189,Özlem ZENGİN,AK Parti,K,TOKAT
Tokat,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7385,Yusuf BEYAZIT,AK Parti,E,TOKAT
Tokat,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7417,Yücel BULUT,MHP,E,TOKAT
Trabzon,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7048,Adnan GÜNNAR,AK Parti,E,TRABZON
Trabzon,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7600,Ahmet KAYA,CHP,E,TRABZON
Trabzon,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7535,Bahar AYVAZOĞLU,AK Parti,K,TRABZON
Trabzon,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7563,Hüseyin ÖRS,İYİ Parti,E,TRABZON
Trabzon,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7047,Muhammet BALTA,AK Parti,E,TRABZON
Trabzon,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7400,Salih CORA,AK Parti,E,TRABZON
Tunceli,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7202,Alican ÖNLÜ,HDP,E,TUNCELI
Tunceli,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7615,Polat ŞAROĞLU,CHP,E,TUNCELI
Uşak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6768,İsmail GÜNEŞ,AK Parti,E,USAK
Uşak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6788,Mehmet ALTAY,AK Parti,E,USAK
Uşak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7024,Özkan YALIM,CHP,E,USAK
Van,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7573,Abdulahat ARVAS,AK Parti,E,VAN
Van,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7654,İrfan KARTAL,AK Parti,E,VAN
Van,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7629,Muazzez ORHAN IŞIK,HDP,K,VAN
Van,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7641,Murat SARISAÇ,HDP,E,VAN
Van,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7521,Osman Nuri GÜLAÇAR,AK Parti,E,VAN
Van,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7178,Sezai TEMELLİ,HDP,E,VAN
Van,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7588,Tayip TEMEL,HDP,E,VAN
Yalova,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7455,Ahmet BÜYÜKGÜMÜŞ,AK Parti,E,YALOVA
Yalova,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7661,Meliha AKYOL,AK Parti,K,YALOVA
Yalova,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7457,Özcan ÖZEL,CHP,E,YALOVA
Yozgat,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7684,Ali KEVEN,CHP,E,YOZGAT
Yozgat,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6238,Bekir BOZDAĞ,AK Parti,E,YOZGAT
Yozgat,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7616,İbrahim Ethem SEDEF,MHP,E,YOZGAT
Yozgat,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6709,Yusuf BAŞER,AK Parti,E,YOZGAT
Zonguldak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7500,Ahmet ÇOLAKOĞLU,AK Parti,E,ZONGULDAK
Zonguldak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7570,Deniz YAVUZYILMAZ,CHP,E,ZONGULDAK
Zonguldak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7502,Hamdi UÇAR,AK Parti,E,ZONGULDAK
Zonguldak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6114,Polat TÜRKMEN,AK Parti,E,ZONGULDAK
Zonguldak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6983,Ünal DEMİRTAŞ,CHP,E,ZONGULDAK
